"x"	"y"	"z"	"dist"
148.33	234.67	180	3.60555127546399
150.33	237.67	180	0
207.33	174.33	182	4.21848313970791
208.67	178.33	182	0
198	180.67	183	4.47213595499958
196	184.67	183	0
242	116	183	2.82842712474619
244	118	183	0
179.33	97.67	190	4.07813682948474
182.67	95.33	190	0
191.33	176	202	4.35252800105867
193.67	179.67	202	0
138	122.67	209	3.33600059952032
140.67	120.67	209	0
149	152.67	209	2.23606797749979
151	151.67	209	0
187.67	149.67	221	3.01920519342425
187.33	152.67	221	0
191.67	189.67	221	4.01608017848249
189	192.67	221	0
168.67	149.33	223	3.40653783187562
168	152.67	223	0
243	233	223	2.98291803440858
244.33	235.67	223	0
193.67	143.33	223	4.27603788570679
191	146.67	223	0
147.33	154.33	226	4.21531730715495
146	158.33	226	0
124	170.33	228	4.53921799432455
125.33	174.67	228	0
258	108.67	230	3.79853919290033
260.33	105.67	230	0
186.67	223.33	235	4.66000000000003
186.67	218.67	235	0
121.67	149	235	4.33077360294901
123.33	153	235	0
133.67	154.67	237	4.70650613512829
134.33	159.33	237	0
236.33	98	237	3.60555127546399
238.33	101	237	0
269.67	117.67	237	3.07065139669094
271.67	120	237	0
156.67	147.33	237	4
156.67	151.33	237	0
166.67	175.33	241	3.60555127546399
168.67	178.33	241	0
214	181	241	3.54369863278468
216.33	183.67	241	0
222	201	241	5.04469027790607
222.67	206	241	0
168	178.67	242	91.8654331073446
251.33	140	242	0
251.67	144.33	242	90.6838712230571
166.33	175	242	0
137	146.33	245	3.07065139669095
139	144	245	0
177	98.67	245	2.60555176498184
179	97	245	0
264	163.67	257	3.80468132699703
267	161.33	257	0
208	96	257	5.81702673193102
210.33	101.33	257	0
231.67	167.33	257	3.16227766016838
232.67	170.33	257	0
154	185.33	257	3.725291934869
157.33	187	257	0
239.67	123	260	4.68236051580824
239.33	127.67	260	0
151	174.67	262	2.10608641798005
153	175.33	262	0
232	177.67	262	5.01087816654925
232.33	182.67	262	0
169.67	139.67	262	4.01885555848929
171.33	143.33	262	0
234.33	191	265	2.35467619854621
234.67	193.33	265	0
240	114	268	5.93951176444663
244.67	117.67	268	0
248.67	114.67	268	3.58949857222425
247.33	118	268	0
161	187.67	271	4.26823148388182
163.67	191	271	0
206	130.67	271	3.47690954728478
209.33	131.67	271	0
165.33	172.67	272	4.63417738115406
167.67	176.67	272	0
129.67	288	149	3.14396246796939
131.33	290.67	149	0
150.67	345.67	150	3.07824625395698
152.67	343.33	150	0
133	283	151	3.14925387988965
134.67	285.67	151	0
158.67	304.67	151	3.43349675986449
157	307.67	151	0
151.67	282.33	170	2.84176001801703
154.33	283.33	170	0
163.33	287	170	3.28566583815213
164.67	290	170	0
170.33	315.33	174	4.21848313970791
171.67	319.33	174	0
149.33	340.67	174	2.40185345098321
147.33	342	174	0
163.33	320	177	3.14925387988965
166	321.67	177	0
156.67	352.33	187	3.07824625395693
154.33	354.33	187	0
123.33	289.33	193	2.85112258592997
126	290.33	193	0
148.33	349.67	233	4.67238697027544
148.67	354.33	233	0
174.67	328.33	266	5.01087816654925
175	333.33	266	0
181.67	321	266	3.79853919290033
178.67	323.33	266	0
181.33	315.33	266	2.97397041007474
178.67	314	266	0
224.67	408.67	144	7.78146515766797
230.33	403.33	144	0
215	436.33	149	3.90356247548315
216.33	440	149	0
277.33	302.33	153	3.07065139669092
279.33	300	153	0
273.33	346.33	186	5.09030450955541
270.67	350.67	186	0
269.33	323.67	191	5.0433718879337
268.67	328.67	191	0
272	376.33	205	5.3501869126228
272.33	381.67	205	0
208.67	256.33	152	3.35626280258269
209	259.67	152	0
190.33	243.33	152	2.36173664916305
192	245	152	0
182.67	241	153	4.95625866960149
184.33	236.33	153	0
215	231	154	4.44397344726542
214	235.33	154	0
153	295.33	158	6.7346566356422
152	288.67	158	0
179.33	260.67	162	5.5505765466301
182.33	256	162	0
162.67	236.33	164	2.69651627104303
161.33	238.67	164	0
175.33	297	164	2.35467619854623
173.67	298.67	164	0
217.67	308.33	175	4.65021504879078
216	312.67	175	0
206.33	246	175	4.80925150101343
210.33	248.67	175	0
184	235	175	3.01809542592676
184.33	238	175	0
167.33	247	192	3.80380073084802
166.33	250.67	192	0
161	298	198	3.33600059952034
163	295.33	198	0
116.33	218.67	199	3.30925973595303
118.67	216.33	199	0
115.67	309.33	200	4.80370690196644
118.33	305.33	200	0
111.33	240.67	202	4.91709263691463
109	245	202	0
130	216.33	205	3.54369863278467
127.67	219	205	0
121	220.33	205	4.6291359884972
118.67	224.33	205	0
102	235.33	205	6.26720033188664
107.67	238	205	0
156	193.33	205	3.68480664350247
156.33	197	205	0
237	259.33	205	3.6848066435025
237.33	263	205	0
87.67	274	211	2.68784300136744
86.33	276.33	211	0
149.33	204	211	4.62913598849721
147	208	211	0
170.33	281.33	211	3.77595021153617
173	284	211	0
245.33	328.33	211	2.68784300136748
243	329.67	211	0
123	198	213	3.33600059952033
125.67	196	213	0
122	200	218	3.07065139669095
124	202.33	218	0
160	303.33	221	4.7401371288181
163.67	300.33	221	0
129.33	204.67	223	2.82842712474619
131.33	202.67	223	0
123.33	188.33	224	4.6291359884972
121	192.33	224	0
131.67	203	224	2.75278041260103
129	203.67	224	0
144	194.33	226	6.08276253029822
143	200.33	226	0
99.67	277.67	227	3.28160021940516
